"id","date","tmax","tmin","prcp","name","year"
"USW00023160","2007-06-21",108,74,0,"Tucson",2007
"USW00023160","2008-06-21",111,74,0,"Tucson",2008
"USW00023160","2009-06-21",99,68,0,"Tucson",2009
"USW00023160","2010-06-21",103,73,0,"Tucson",2010
"USW00023160","2011-06-21",105,67,0,"Tucson",2011
"USW00023160","2012-06-21",107,71,0,"Tucson",2012
"USW00023160","2013-06-21",105,71,0,"Tucson",2013
"USW00023160","2014-06-21",103,75,0,"Tucson",2014
"USW00023160","2015-06-21",105,83,0,"Tucson",2015
"USW00023160","2016-06-21",107,82,0,"Tucson",2016
"USW00023160","2017-06-21",115,82,0,"Tucson",2017
"USW00023160","2018-06-21",106,69.1,0,"Tucson",2018
"USW00023160","2019-06-21",99,71.1,0,"Tucson",2019
"USW00023160","2020-06-21",104,71.1,0,"Tucson",2020
"USW00023160","2021-06-21",105.1,82.9,0,"Tucson",2021
